100,'AN  ',100,5,'Angus','GB','Scotland',55.95,-3.2,90,'0.1%',90,'0.5%',1,0,100,90,0.09,0.5,90,0.99,0.007,0,0.0891
101,'HFD ',101,7,'Hereford','GB','England',52,0.75,100,'0.6%',100,'1.0%',22,0,101,100,0.58,0.95,100,0.99,0.008,0,0.5742
102,'LM  ',102,16,'Limousin','S.Eur','France',46,2,100,'0.1%',100,'0.6%',27,0,102,100,0.12,0.55,100,0.98,0.015,0,0.1188
103,'CHA ',103,31,'Charolais','S.Eur','France',46,2,55,'0.7%',55,'1.1%',10,0,103,55,0.73,1.06,55,0.96,0.024,0,0.7227
104,'SIM ',104,8,'Simmental','N.Eur','Switzerland',47,8,84,'2.8%',84,'3.0%',51,0,104,84,2.83,3.01,84,0.99,0.026,0,2.8017
105,'WAGY',105,44,'Japanese Black','Asia','Japan',36,138,10,'0.9%',10,'1.4%',24,0,105,10,0.91,1.44,10,0.9,0.01,0,0.9009
106,'HANW',106,43,'Hanwoo Korean cattle','Asia','Korea',38.5,127,7,'0.2%',7,'0.6%',21,0,106,7,0.21,0.62,7,0.87,0.03,0,0.2079
107,'BBLU',107,11,'Belgian blue','N.Eur','Belgium',50.83,4,4,'0.2%',4,'0.7%',4,0,107,4,0.17,0.68,4,0.98,0.016,0,0.1683
109,'BDAQ',109,27,'Blonde d''Aquitaine','S.Eur','France',46,2,5,'0.2%',5,'0.7%',6,0,109,5,0.19,0.66,5,0.97,0.023,0,0.1881
110,'CHIA',110,37,'Chianina','S.Eur','Italy',42.83,12.83,8,'4.2%',8,'3.9%',11,0,110,8,4.2,3.89,8,0.88,0.045,0,4.158
111,'CORR',111,41,'Corriente','CORR','Mexico',23,-102,5,'0.3%',5,'0.7%',12,0,111,5,0.29,0.74,5,0.92,0.032,0,0.2871
112,'GEL ',112,22,'Gelbvieh','N.Eur','Germany',51,9,8,'0.4%',8,'0.8%',17,0,112,8,0.4,0.76,8,0.97,0.015,0,0.396
113,'MAAN',113,2,'Maine Anjou','S.Eur','France',46,2,5,'0.2%',5,'0.6%',29,0,113,5,0.18,0.63,5,0.99,0.001,0,0.1782
114,'MUGR',114,13,'Murray Grey','GB','Australia',-27,133,5,'3.5%',5,'4.5%',32,0,114,5,3.54,4.51,5,0.98,0.017,0,3.5046
116,'PIED',116,34,'Piedmontese','S.Eur','Italy',42.83,12.83,29,'0.1%',29,'0.5%',37,0,116,29,0.14,0.47,29,0.95,0.024,0,0.1386
117,'PINZ',117,24,'Pinzgauer','N.Eur','Austria',-27,133,5,'0.7%',5,'1.4%',38,0,117,5,0.74,1.4,5,0.97,0.018,0,0.7326
